name,last name,age,gender,city,job
"Olivia","Jones","[40, 50)","Female","Elva","Designer"
"Noah","Johnson","[30, 40)","Male","Tartu","IT manager"
"Emma","Johnson","[30, 40)","Female","Tallinn","Designer"
"Emma","Davis","[30, 40)","Female","Rapla","Systems analyst"
"Laim","Brown","[20, 30)","Male","Jõgeva","IT manager"
"Mason","Moore","[20, 30)","Male","Elva","IT manager"
"Jacob","Miller","[30, 40)","Male","Elva","Systems analyst"
"Jacob","Davis","[40, 50)","Male","Elva","Programmer"
"Sophia","Brown","[40, 50)","Female","Vändra","IT manager"
"Daniel","Moore","[20, 30)","Male","Viljandi","Systems analyst"
"Daniel","Jones","[30, 40)","Male","Elva","Printmaker"
"Mason","Johnson","[20, 30)","Male","Tallinn","IT manager"
"Willia","Jones","[30, 40)","Male","Türi","IT manager"
"Daniel","Williams","[20, 30)","Male","Paide","IT manager"
"Abigal","Williams","[30, 40)","Female","Viljandi","Designer"
"Isabella","Miller","[30, 40)","Female","Rapla","IT manager"
"Noah","Jones","[20, 30)","Male","Vändra","System admin"
"Laim","Moore","[40, 50)","Male","Vändra","Systems analyst"
"Abigal","Brown","[20, 30)","Female","Tartu","Printmaker"
"Isabella","Jones","[40, 50)","Female","Rapla","Programmer"
